Ticker,Price
A,69.94
AABA,77.48
AACC,2.9950001
AAME,3
AAN,40.1
AAP,120.88
AAPL,189.165
AAT,35.1
ABAX,72.114
ABB,23.92
ABC,87.415
ABCB,54.85
ABCO,53.825
ABM,30.43
ABT,61.9948
ABVT,2.9950001
ABX,13.53
ACAS,0
ACCL,2.9950001
ACET,2.73
ACGL,79.15
ACIIQ,2.9950001
ACIW,22.36
ACLS,22.5
ACM,33.36
ACMC,2.34
ACN,156.96
ACNB,31.4935
ACOM,2.9950001
ACOR,24.3
ACT1,2.9950001
ACTG,3.825
ACU,21.3
ACUR,0.4401
ADBE,242.455
ADGF,2.9950001
ADI,94.19
ADP,127.45
ADS,209.06
ADSK,136.735
ADTN,14.925
ADVS,0
AE,47.05
AEA,2.9950001
AEE,56.85
AEGN,24.99
AEIS,65.49
AEL,29.01
AEO,20.79
AEP,67.25
AEPI,0
AES,12.335
AET,176.03
AETUF,10.5931
AEY,1.3301
AF,19.375
AFAM,56
AFCB,43.5
AFG,110.86
AFL,45.24
AFOP,2.9950001
AFSI,13.25
AG,7.295
AGCO,64.34
AGI,5.3
AGM,88.4706
AGN1,2.9950001
AGNC,19.05
AGO,35.09
AGP,2.9950001
AGU,
AGX,38.55
AHGP,26.17
AHPI,2.9805
AI,10.94
AIM,2.9950001
AIMC,43.2
AIN,60.25
AIRI,1.6042
AIRM,42.95
AIT,69.9855
AIZ,87.43
AJG,68.55
AKAM,76.84
AKOB,28.15
AKRX,14.125
ALB,100.51
ALC,2.9950001
ALCO,32.1253
ALE,76.66
ALG,94.11
ALGN,295.39
ALGT,160.35
ALK,60.31
ALL,96.19
ALLT,5.08
ALNC,2.9950001
ALOG,83.7
ALOT,19.45
ALTE,2.9950001
ALTR1,2.9950001
ALV,143.87
ALX,393.05
ALXN,121.9
AM1,2.9950001
AMAP,2.9950001
AMAT,55.665
AMBTQ,0.002
AMD,12.245
AME,74.69
AMG,165.94
AMGN,177.305
AMIC,0
AMKR,8.79
AMNB,39.05
AMOT,46.5
AMOV,17.1
AMP,139.08
AMRB,15.69
AMS,2.7
AMSF,58.9
AMSG,67.75
AMSWA,13.29
AMT,138.73
AMTD,60.88
AMZN,1606.55
AN,46.37
ANAT,119.74
ANCX,27.13
ANDE,31.7
ANDV,141.39
ANDX,44.43
ANEN,2.9950001
ANF,25.67
ANGO,19.54
ANH,4.8
ANIK,38.075
ANLY,2.9950001
ANN,2.9950001
ANNB,2.9950001
ANSS,170.645
ANTM,233.5
AOL,2.9950001
AON,144.4
AOS,64.09
AP,10.325
APA,42.205
APAGF,0
APD,166.9
APEI,38.1501
APH,88.26
APKT,2.9950001
APL,
APLP,15.3
APOL,9.995
APT,3.45
APU,41.0502
AQN,9.83
ARB,2.9950001
ARBA,2.9950001
ARCB,48.2
ARCL,2.9950001
ARDNA,2.9950001
ARG,2.9950001
ARI,18.24
ARIS,7.095
ARKR,25.5
ARLP,18.15
ARMH,0
ARNC,18.29
AROPQ,0.0055
AROW,37.145
ART,2.9950001
ARTNA,38.835
ARTW,2.7467
ARUN,24.635
ARW,76.675
ASB,26.9
ASBB,2.9950001
ASBI,22.92
ASCMA,2.5
ASEI,0
ASFI,3.401
ASGN,84.04
ASH1,2.9950001
ASI,
ASIA,0
ASMIY,62
ASML,202.02
ASNA,2.505
ASPS,28.22
ASR,170.5
ASRV,4.231
ASTX,2.9950001
ASYS,9.12
ATAI,5.3
ATEA,3.88
ATGE,45.975
ATHN,151.87
ATI,28.19
ATLC,2.12
ATLO,28.2
ATML,8.14
ATNI,51.83
ATR,93.035
ATRI,587
ATRO,34.9
ATU,23.9
ATVI,71.69
ATX,2.9950001
AU,8.96
AUBN,42
AUTO,3.0407
AUTO1,2.9950001
AUY,2.945
AVA,52.42
AVAV,59.62
AVD,21.65
AVEO,2.25
AVGO,247.03
AVP,1.96
AVT,40.7564
AVX,15.86
AVY,107.73
AWH,57.03
AWI,58.8375
AWR,55.16
AWRE,4.1
AWX,2.18
AXE,64.15
AXLL,
AXP,101.82
AXS,57.03
AXTI,6.6
AYI,114.695
AZK,2.9950001
AZN,36.42
AZZ,45.325
B,59
BA,346.0298
BABB,0.6997
BAC,31.135
BAGL,0
BAH,40.75
BAS,14.94
BAX,71.28
BB,11.75
BBBY,17.01
BBGI,10.25
BBOX,1.9
BBRG,4.013
BBSI,83.808
BBT,55.07
BBY,77.8178
BC,61.025
BCBP,15.2
BCE,42.27
BCO,74.15
BCOR,33.5
BCPC,93.26
BCR,2.9950001
BCS,11.71
BCSI,2.9950001
BDBD,0
BDC,55.155
BDGE,36.35
BDMS,7
BDX,227.09
BEAM,2.9950001
BEAV,64.47
BECN,42.03
BELFA,18.65
BEN,33.52
BERK,12.05
BFB,57.02
BFED,2.9950001
BFS,48.93
BG,70.615
BGCP,12.15
BGG,18.545
BGS,26.7
BH,201.58
BHB,29.92
BHLB,38
BHP,51.22
BID,57.56
BIDU,277.8
BIG,41.86
BIIB,283.71
BIO,283.16
BIOC1,2.9950001
BIOS,2.515
BIRT,0
BKBK,2.9950001
BKE,24.125
BKI1,2.9950001
BKJ,17.1
BKNG,2070.092
BKR,2.9950001
BKYF,50.99
BLC,
BLK,540.603
BLKB,100.86
BLL,38.415
BLT,
BLUD,2.9950001
BLX,28.375
BMA,72.335
BMC,0
BMI,43.9
BMO,79.2175
BMRC,75.415
BMS,43.4
BMTC,45.95
BMY,52.205
BNCL,16.15
BNCN,2.9950001
BNHN,2.9950001
BNO,21.7505
